AnalysisType,NumNeighbors,NumPoints,NumDimensions,TimeMicroSeconds
Quad,60,8000,2,7.77198
Bucket,60,9000,2,46.199
KD,60,9000,2,4.89991
Quad,60,9000,2,15.8986
Bucket,60,10000,2,26.348
KD,60,10000,2,5.59905
Quad,60,10000,2,4.4157
Bucket,70,1000,2,32.5467
KD,70,1000,2,4.84255
Quad,70,1000,2,4.22224
Bucket,70,2000,2,25.9336
KD,70,2000,2,5.12594
Quad,70,2000,2,4.54828
Bucket,70,3000,2,30.654
KD,70,3000,2,8.18794
Quad,70,3000,2,4.14002
Bucket,70,4000,2,29.3283
KD,70,4000,2,4.82809
Quad,70,4000,2,4.23113
Bucket,70,5000,2,36.6379
KD,70,5000,2,4.52876
Quad,70,5000,2,4.20924
Bucket,70,6000,2,28.2768
KD,70,6000,2,5.63841
Quad,70,6000,2,4.25381
Bucket,70,7000,2,64.7064
KD,70,7000,2,9.35332
Quad,70,7000,2,9.72589
Bucket,70,8000,2,62.8705
KD,70,8000,2,8.96761
Quad,70,8000,2,13.1581
Bucket,70,9000,2,55.0918
KD,70,9000,2,15.4194
Quad,70,9000,2,10.7663
Bucket,70,10000,2,49.233
KD,70,10000,2,11.1951
Quad,70,10000,2,10.8457
Bucket,80,1000,2,50.7934
KD,80,1000,2,13.2164
Quad,80,1000,2,9.39397
Bucket,80,2000,2,56.6988
KD,80,2000,2,9.43731
Quad,80,2000,2,10.2008
Bucket,80,3000,2,54.3875
KD,80,3000,2,10.3567
Quad,80,3000,2,12.2984
Bucket,80,4000,2,65.58
KD,80,4000,2,7.98448
Quad,80,4000,2,9.81244
Bucket,80,5000,2,64.168
KD,80,5000,2,9.88012
Quad,80,5000,2,5.49289
Bucket,80,6000,2,33.7547
KD,80,6000,2,8.79646
Quad,80,6000,2,3.80413
Bucket,80,7000,2,26.2692
KD,80,7000,2,6.36769
Quad,80,7000,2,4.44868
Bucket,80,8000,2,25.1906
KD,80,8000,2,4.44983
Quad,80,8000,2,4.20461
Bucket,80,9000,2,29.7147
KD,80,9000,2,4.5405
Quad,80,9000,2,6.00113
Bucket,80,10000,2,42.6048
KD,80,10000,2,4.4828
Quad,80,10000,2,3.87426
Bucket,90,1000,2,33.1886
KD,90,1000,2,3.68327
Quad,90,1000,2,4.66455
Bucket,90,2000,2,41.9939
KD,90,2000,2,5.42784
Quad,90,2000,2,4.41971
Bucket,90,3000,2,53.3287
KD,90,3000,2,10.6398
Quad,90,3000,2,6.25674
Bucket,90,4000,2,46.7161
KD,90,4000,2,9.93709
Quad,90,4000,2,5.76216
Bucket,90,5000,2,46.867
KD,90,5000,2,8.96369
Quad,90,5000,2,4.72135
Bucket,90,6000,2,62.8805
KD,90,6000,2,9.18693
Quad,90,6000,2,4.69168
Bucket,90,7000,2,55.807
KD,90,7000,2,15.5672
Quad,90,7000,2,11.9379
Bucket,90,8000,2,66.1072
KD,90,8000,2,9.76983
Quad,90,8000,2,8.32625
Bucket,90,9000,2,68.2131
KD,90,9000,2,5.49826
Quad,90,9000,2,7.4061
Bucket,90,10000,2,60.7783
KD,90,10000,2,12.278
Quad,90,10000,2,10.8557
Bucket,100,1000,2,74.892
KD,100,1000,2,7.59138
Quad,100,1000,2,3.63473
Bucket,100,2000,2,39.5709
KD,100,2000,2,5.02175
Quad,100,2000,2,2.73873
Bucket,100,3000,2,38.2605
KD,100,3000,2,4.76834
Quad,100,3000,2,2.95605
Bucket,100,4000,2,42.535
KD,100,4000,2,3.76374
Quad,100,4000,2,2.71351
Bucket,100,5000,2,39.5891
KD,100,5000,2,3.33033
Quad,100,5000,2,3.75162
Bucket,100,6000,2,44.811
KD,100,6000,2,3.66207
Quad,100,6000,2,3.36429
Bucket,100,7000,2,43.0582
KD,100,7000,2,3.2834
Quad,100,7000,2,3.30191
Bucket,100,8000,2,60.2047
KD,100,8000,2,6.5245
Quad,100,8000,2,7.58917
Bucket,100,9000,2,64.4501
KD,100,9000,2,11.7908
Quad,100,9000,2,6.16977
Bucket,100,10000,2,73.5354
KD,100,10000,2,5.73836
Quad,100,10000,2,7.452
